Timestamp,AverageCPUUtilization,AverageCPUPowerConsumedWatts,AverageMemoryPowerConsumedWatts,AverageMemoryUtilization,AveragePowerSupplyInput,AveragePowerSupplyOutput,AverageSystemPowerConsumedWatts,CPUPowerMetric1,CPUPowerMetric2,CPUTemp1,CPUTemp2,InletAirTempEvent,MaxCPUPowerConsumedWatts,MaxMemoryPowerConsumedWatts,MaxSystemPowerConsumedWatts,MinCPUPowerConsumedWatts,MinMemoryPowerConsumedWatts,MinSystemPowerConsumedWatts
01/01/2024 01:32:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:33:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:34:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:35:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:36:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:37:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:38:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:39:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:40:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
01/01/2024 01:41:00 AM,12,201.0,4.0,21.0,274.0,255.0,282.0,106.0,98.0,81.0,69.0,24.0,297.0,7.0,402.0,79.0,0.0,136.0
